geo_id,automation,aui,expected,auto_resid,aui_resid,wave
AGO,59.276018099547514,0.0456122704656556,67.48700212213342,3.2130063773023494,-0.644819780783667,2025-08
ALB,56.284153005464475,0.7888309384528269,68.43148423258978,-0.16623077787254914,0.16717134805893508,2025-08
ARE,52.758855585831064,1.2922019273345715,58.87494955917343,0.2280108730100494,-0.025316694654454297,2025-08
ARG,54.4161429043996,0.7842234914875027,58.566261663272634,2.0119041538783122,-0.5557722383285048,2025-08
ARM,56.81492109038737,1.5414610298047535,66.0300153173594,1.3494812811520234,0.7449384905632501,2025-08
AUS,46.03804347826087,4.101449368258871,48.300565917407525,-2.155799251422863,2.013957046373861,2025-08
AUT,45.37979639780736,1.6663721262550917,58.709852954016306,-7.083335214351443,0.33683199566380484,2025-08
AZE,52.653927813163484,0.2611554372170135,67.7544756228313,-3.5187861047142945,-0.40980053221671864,2025-08
BEL,48.32682654768544,1.861428503075573,57.76271126420274,-3.747842197398171,0.4629222543692737,2025-08
BEN,62.34817813765182,0.2524600653772727,66.76335527530115,6.58196459448979,-0.4906643279460371,2025-08
BFA,62.69230769230769,0.0800069478168959,67.84642952813795,6.481879588602851,-0.5842533983930676,2025-08
BGD,57.91109729561703,0.1118623113750507,59.3085790025165,5.202402807391849,-1.1740815845414354,2025-08
BGR,51.385224274406326,1.4596011913060525,63.02882980250017,-2.8493024177469835,0.44454734156591735,2025-08
BIH,51.42045454545454,0.6737524860668648,67.34293163689325,-4.583467777222197,-0.027170056952402155,2025-08
BOL,53.761283851554666,0.4839902319857235,61.47948941591915,0.16220718247564747,-0.6438788314130341,2025-08
BRA,63.94698338927619,0.9260182311201804,57.29862897812377,12.062654418429034,-0.5062801672729386,2025-08
CAN,46.60019040938017,2.9136194486582068,50.42971625282783,-2.4669069269023822,0.9811611993902722,2025-08
CHE,46.90223792697291,2.8129771076417764,55.441171085431336,-4.2202689994779305,1.245427920693141,2025-08
CHL,50.89507707608155,1.158389348435904,56.718584139791425,-0.7513509731251489,-0.3161450123931062,2025-08
CIV,59.60912052117264,0.1994331515359349,65.6852251436089,4.285093745356654,-0.6221952827406114,2025-08
CMR,60.333333333333336,0.2211741123922632,66.92155128102127,4.50223691720435,-0.5104312394474391,2025-08
COL,51.95071868583162,0.8236025489336274,53.56866755876339,1.5962046546370559,-0.8802929743444536,2025-08
CRI,52.985702270815814,1.3119790443472863,61.19935306568539,-0.4984786324510111,0.16371185379784592,2025-08
CYP,46.77137870855148,2.39017701570814,67.69651564846792,-9.377563372378404,1.7150006909876776,2025-08
CZE,46.748101683724,1.711132868072996,58.43525303137335,-5.602404885745038,0.36159774528250055,2025-08
DEU,45.998294554756974,1.8350611876849208,51.233085092986805,-3.398298321974714,-0.03889976290404795,2025-08
DNK,44.11504424778761,2.3071425941225168,59.49185017570635,-8.668817500157267,1.0345435879022868,2025-08
DOM,55.99639314697926,0.5788662042274328,62.88241240350119,1.8219184229913807,-0.4468490277980117,2025-08
DZA,54.74683544303798,0.2541380965072279,63.23185256775279,0.42904052785133473,-0.7461326514446154,2025-08
ECU,56.32911392405063,0.956858634417044,55.39768734951225,5.224441516878095,-0.6138568205775772,2025-08
EGY,59.126454320045774,0.2811923790687435,60.84668295753119,5.786918344585125,-0.8927544839058273,2025-08
ESP,50.44025157232704,1.2605807317206792,55.20073625678151,-0.5836428615194151,-0.3244757162533798,2025-08
EST,50.43478260869565,3.10575549323648,67.85011259433855,-5.77715607623616,2.4417633294762475,2025-08
FIN,44.550898203592816,1.8895174643237136,61.237413758953565,-8.948892999789436,0.7440216629927001,2025-08
FRA,48.98868865030675,1.9438095632497092,52.34030143192482,-0.8620204775858653,0.15047056567085648,2025-08
GBR,45.493174518201286,2.6652636438018495,48.50992725719863,-2.78653615202888,0.5930159669831898,2025-08
GEO,49.03920061491161,2.191490694350285,64.60490319281288,-5.841740435839213,1.2911986218217844,2025-08
GHA,60.06528835690968,0.3483687568154062,57.36356220278457,8.154327524228698,-1.0792015291002368,2025-08
GRC,48.15506772536198,1.28477675431947,61.32872455902635,-5.382173899190292,0.14592974850735652,2025-08
